ID,Type,ContentID,Text,ReaderPreviewPath,LocalizationArea
400602,1,,特里斯坦家族倾尽全国之力，依然无法消除耶梦加得的诅咒。\r\n这一年，特里斯坦三世的长子因耶梦加得的诅咒而早夭，二王子似乎也因诅咒丧命。之后，三王子的手臂上也出现了蛇纹。忧心忡忡的国王试遍了无数方法，依然无法将诅咒拔除。\r\n当年，身为皇室驱魔师的宝妮，因不忍三王子日益虚弱，自告奋勇地进行驱魔，结果导致三王子当场死亡。盛怒的国王驱逐了宝妮，教廷也因此丢失了王室的信任。,,
400701,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_70.png,
400702,1,,能将灵魂碎片上的记忆具象化的重要道具，稀少而珍贵。这种水晶结构特殊，需要大量的能量，才能使其生效。\r\n\r\n创造者：未知\r\n作用：具象化灵魂碎片，展示灵魂碎片上残留的记忆,,
400801,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
400802,1,,从人的思想中抽离出来的思念体，凝聚在水晶上形成的魔法物品，记录着所有者的部分记忆。然而大部分人因为担心隐私外泄，对记忆水晶非常排斥。\r\n\r\n创造者：未知\r\n作用：记录记忆景象，常用以传递信息,,
400901,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
400902,1,,根据史书记载，在挖掘由佩雷斯遗迹的时候，遗迹内出现了一块从未见过的猩红色晶体——这就是珍贵的伊米尔之心碎片。但未经激活的碎片空有巨大的力量，并不能为人所用。巴雷蒙德经历了长时间的钻研，终于成功从一本笔记中找到了蛛丝马迹。他利用笔记上记载的技术，成功点亮了伊米尔之心，引起了学术界的轩然大波。,,
401001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
401002,1,,白骑士团是曾由卢恩王国哈因理西带领的、驻守在克雷斯特汉姆的骑士团。\r\nA.W800年，堕落女武神希莫梅斯为了搜集伊米尔之心碎片入侵克雷斯特汉姆，因哈因理西拒绝交出伊米尔之心碎片，白骑士团也惨遭覆灭。\r\n\r\n代表人物：哈因理西\r\n重要事迹：因拒绝将伊米尔之心碎片交给堕落女武神希莫梅斯而覆灭,,
401101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
401102,1,,由佩雷斯彼女，亦称“神之造物露希尔”。无数文献记载，由佩雷斯彼女曾是印记刺客中的一员，成功阻止了梦罗克的第二次复活。\r\n在由佩雷斯遗迹进行考察调研时，巴雷蒙德发现了沉睡在遗迹中的由佩雷斯彼女，自此他开始沉迷于研究由佩雷斯彼女身上的魔法波长，希望能解开她身上的秘密。,,
401201,4,,,,
401202,1,,世界初开，巨人伊米尔诞生，成为世界上第一个生物，从它身上又诞生出许多巨人，以喝母牛乳汁为生命来源。神王布利与伊米尔因想私占牛乳汁而大打出手，最终伊米尔杀死神王布利。布利身上诞生包尔，包尔又生出奥丁，两人联手杀死伊米尔，伊米尔死后，蕴含巨大能源的心脏爆炸，散落在世界各处。,,
401301,4,,,,
401302,1,,在掌握了点亮伊米尔之心的方法后，巴雷蒙德在朱诺建立了一个半位面，用于承载一颗已经激活的伊米尔之心碎片，这巨大的能源使得整座朱诺城腾空而起，巴雷蒙德将整个朱诺打造成了天空之城，这项举动震惊了整片大陆。,,
401401,4,,,,
401402,1,,A.W800年，四处搜集伊米尔之心碎片的堕落女武神希莫梅斯在覆灭了古城后，又对普隆德拉进行了惨无人道的入侵，她打破了通往地下仪式之间的障壁，夺走了仪式之间的伊米尔之心碎片，这次事件给卢恩王室留下了深刻的危机感。,,
420001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
420002,1,,米德加兹教廷是卢恩王国的司法机关，有着与神庭沟通的力量。在特里斯坦三世的三皇子死亡后，教廷的力量被大大削弱。\r\n\r\n代表人物：班波、宝妮\r\n重要事迹：主导特里斯坦三世三王子的驱魔仪式却意外造成三王子死亡,,
420101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
420102,1,,巴雷蒙德的助手卡斯特送来了一封神秘人的信件，上面提示宝妮曾经见过白女巫。于是，巴雷蒙德前去拜访宝妮，希望能获得更多线索。\r\n但是，在找到宝妮后不久，便有蒲公英团的刺客来暗杀宝妮。经过一场恶战，刺客被击退。通过这件事，宝妮认识到了自己无法再置身事外，为了更好地保护卡努，她决定不再逃避。,,
420201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
420202,1,,卢恩境内十分受欢迎的报纸，报道卢恩王国每日的各项重大新闻。最近为了取得更好的销量，编辑们在报纸上夹带了许多花边消息。\r\n很多人对这种行为发出了批评，但不可否认的事实是，报纸的销量的确提高了。\r\n\r\n创造者：未知\r\n作用：报道卢恩新闻,,
420301,4,,,,
420302,1,,葛佩妮亚文明由善用弓箭的精灵族创造，在魔神战争期间，有一批精灵跑到米德加兹大陆繁衍生息，并且建立了属于自己的文明，而后奥丁下界，害怕被制裁的葛佩妮亚精灵迁入地底，据说就在吉芬一带。,,
450001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,9
450002,1,,在重新封印梦罗克之后，白女巫依旧贼心不死，收购了大量的魔能饲料，妄图再次复生梦罗克。\r\n所幸众人及时赶到，联合起来讨伐白女巫。千钧一发之际，白女巫使用了血之禁术——将自己的血液凝聚成武器。这种教国秘术具有强大的力量，令众人一时无法抗衡。最后，白女巫将国王带上船只，逃离了米德加兹大陆。,,9
460001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
460002,1,,在七圣贤对战世界之蛇耶梦加得时，给予世界之蛇耶梦加得最后一击的英雄特里斯坦一世所在的家族。其家族被耶梦加得诅咒：长子会噩梦缠身，身上出现蛇纹，并且会在恐怖的梦境中窒息而死，活不过23岁。是个具有悲剧色彩的家族。\r\n\r\n代表人物：特里斯坦一世、特里斯坦三世\r\n重要事迹：给予世界之蛇耶梦嘉德最后一击、特里斯坦三世三位王子连续死亡事件,,
460101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
460102,1,,白面具是教国的拥趸。在王子死亡之前，宝妮曾目睹了大量的白面具出现在卢恩境内。白面具们在普隆德拉的各处集结，建立了许多据点，疑似心怀不轨。\r\n根据班波的推断，毒害王子的凶手，极有可能受到白面具的指使，而卢恩的内部，也许已经遭到了教国的渗透。因此，班波决定向国王汇报，启动肃清计划，将卢恩境内所有的白面具全部抓起来。,,
460201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
460202,1,,刺客工会是位于梦罗克的神秘组织，擅长情报收集与暗杀，经营着卢恩王国庞大的情报网，为皇室、其他组织提供一些暗中委托，连卢恩皇室都要敬畏三分。\r\n\r\n代表人物：霖、基德\r\n重要事迹：协助调查卢恩地底集市起火事件、卢恩王子连续死亡事件,,
460301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
460302,1,,据说是从耶梦加得涎水中生出的毒草，广泛地分布在教国境内，提炼出的毒素可以致命，中毒者身上会因毒素生长出蛇纹，毒素无法被代谢，即使死亡这种痕迹也会留在中毒者身上，且越来越明显。\r\n\r\n创造者：自然生长\r\n作用：毒药,,
430001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
430002,1,,一种魔法结晶，只要洒在空气中，就能显现出最近发生的事情，在卢恩国王特里斯坦三世失踪追溯凶手时被用到。光粒结晶是某位已故法师的得意之作，其制作方法随着法师的死亡一同进入了冥界，因此存量稀少。在拍卖会上，往往能够拍出很高的价格。\r\n\r\n创造者：未知\r\n作用：显现近期发生的重要事情的影像,,
430101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
430102,1,,在复制人工厂之中，藏着白女巫毒害王子的证据。但与此同时，成百上千的古娜复制人蜂拥而至。面对强敌，拉乐西斯不惜一切代价断后。他因此受了重伤，最后不治而亡。,,
430201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
430202,1,,据目击者的口述，有一位神秘的贵族，与美丽的舞女一起走向远方。\r\n那位神秘的贵族正是卢恩国王特里斯坦三世。带走国王的舞女，与古娜长得一模一样。在有心者看来，这场舞会更像是一场精心策划的阴谋。,,
430301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
430302,1,,《死海古卷》是所罗门王被梦罗克蛊惑后，写下的伪经，分为上、中、下三部分。上部记载穿越九界的秘钥，中部记载献祭仪式，下部记载唤醒魔神的方法。所罗门王失踪后，死海古卷也一并失踪。\r\n\r\n创造者：所罗门王\r\n作用：唤醒魔神梦罗克,,
430401,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
430402,1,,梦罗克城中，出现了无数被盐化的人，他们围成一圈，向某处作出朝圣的姿态。除此之外，还有很多居民声称自己做了一个怪梦——一道白色的光柱从天而降，之后，自己的肉身就被光柱变成了盐粒。\r\n这是否预示了什么？不断弥漫的猜测，让梦罗克的居民活在未知的恐惧之中。,,
430501,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
430502,1,,蕴含很强魔力的卷轴，用于测验是否被恶魔附身，这种卷轴对常人无效，却能对恶魔造成巨大伤害。根据蕴含魔力的多少，圣光卷轴的效力也有高低之分。\r\n\r\n创造者：未知\r\n作用：检验并抑制被恶魔附身者的邪能,,
430601,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
430602,1,,接触死海古卷之后，巴雷蒙德的性格变得易怒易躁。性格变化后，巴雷蒙德试图独立完成古卷仪式。然而仪式失败了，巴雷蒙德的意识被侵蚀，转变成魔化巴雷蒙德。\r\n宝妮推断，引起巴雷蒙德性格变化的，是来自教国的圣痕诅咒。这种诅咒需要使用圣光卷轴才能祛除。,,
430701,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
430702,1,,记载着教国各类禁忌秘术的书，包括邪术“圣痕诅咒”。据说，《启示录》在教国的典籍中拥有举足轻重的地位，但在如今只剩残章。\r\n\r\n创造者：未知\r\n作用：记录教国禁忌秘术,,
430801,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
430802,1,,教国内派系之一，主张激进的改革。他们成立了组织“天启”，派出白女巫古娜为首的白面具团进入卢恩王国破坏，意在收集伊米尔之心，同时把卢恩政权搅乱。\r\n\r\n代表人物：白女巫古娜、黑衣修士波鲁克斯\r\n重要事迹：成立组织“天启”、派出白女巫搅乱卢恩王国政权,,
430901,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
430902,1,,多次搅乱卢恩王国局势的神秘组织，在探查情报等方面拥有着不逊色于刺客工会的实力。但其实早已效力于白女巫，曾在白女巫的命令下做出许多残忍的事，使卢恩居民人心惶惶。\r\n\r\n代表人物：摩尔\r\n重要事迹：帮助白女巫献祭黑白双子,,
431001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
431002,1,,梦罗克继盐化事件后，又出现了儿童失踪案件，整座城市人心惶惶。刺客工会众人商议之后，决定前去调查儿童失踪的真相。\r\n经过调查，是一些教国打扮的人，将孩子们带到了陌生的神殿之中。,,
431101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
431102,1,,教国内派系之一，主张使用和平的手段来解决问题。他们认为巴雷蒙德研究的剥离神格释放伊米尔之心能量的做法是大逆不道的行为，暗中派出人员暗杀巴雷蒙德，而后得知巴雷蒙德断绝了和雷根贝勒企业之都的勾当，便将刺杀改为暗中监视。\r\n\r\n代表人物：白衣修士卡斯特\r\n重要事迹：刺杀巴雷蒙德,,
431201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
431202,1,,蒲公英团的团长摩卡声称接到了刺客工会的委托，希望能够利用黑衣修士波鲁克斯引诱白女巫出现。并且，他指出，白衣修士卡斯特与黑衣修士波鲁克斯乃是兄弟关系，计划让白衣修士来引出黑衣修士。\r\n但在最后关头，摩卡背叛了先前的约定。原来，蒲公英团早早地向白女巫投诚了。而他的“帮助”，只是为了能将黑白双子一网打尽。,,
431301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
431302,1,,七王建国后不久，魔神梦罗克再一次苏醒。此时由佩雷斯文明覆灭已久，为了阻止梦罗克，印记刺客再次启动。而伟大的魔剑士达纳托斯代表人类，在魔神塔顶与梦罗克鏖战了七天七夜。\r\n但是恶魔无法在物质位面被杀死，于是以米德加兹教廷为首的组织，决定使用复杂的装置来封印梦罗克。在封印装置之上，梦罗克领主的城堡镇守于此。\r\n有传言称，刺客工会便是在那时成立的。,,
431401,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
431402,1,,传言所罗门王在召唤魔神梦罗克后幡然醒悟，开始研究封印魔神的方法，之后将解开魔神诅咒的方法写在书上，即《所罗门之书》，他还把法阵封印进一把钥匙中，用于警醒后人，即所罗门之钥。\r\n\r\n创造者：所罗门王\r\n作用：封印魔神梦罗克,,
431501,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
431502,1,,印记刺客是上古文明的造物，是由佩雷斯人利用诸神的特质来制造的一批伪神，专门用来抵御魔神入侵，共由七个强大的刺客组成。印记刺客在抵御第二次魔神入侵时死伤惨重，只有洛基和露希尔存活于世。\r\n\r\n代表人物：洛基、露希尔\r\n重要事迹：抵御魔神梦罗克的第一次、第二次入侵,,
431601,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
431602,1,,卢恩王国施密特王在位期间，梦罗克的领主被魔神梦罗克的意识侵蚀，献祭了大量的孩童，包括自己的女儿。梦罗克的幼体借由这股力量成功复活。眼见事态恶化，印记刺客及时介入，斩杀了梦罗克的幼体。但印记刺客也在这场战斗中损失惨重，仅剩露希尔和洛基两人存活。,,
431701,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
431702,1,,白女巫在献祭了黑白双子之后，魔神梦罗克获得了强大的力量，极有可能突破封印。瑞安劝说众人前往混沌枷锁加固封印。\r\n但是瑞安早已被魔神蛊惑，而众人前往混沌枷锁的举动，恰恰成为了打破魔神封印的关键。于是，时隔数百年，梦罗克的幼体再一次出现在了米德加兹的大陆上。最后，在众人的合力之下，梦罗克的幼体被暂时击溃。但白女巫依旧在暗处蠢蠢欲动。,,
431801,4,,,,
431802,1,,传说，由佩雷斯由于得到了奥丁神谕，文明爆炸式的发展开来，由佩雷斯人手握着“神术和科学”两种技术。之后由佩雷斯人也逐渐分为两派，以所罗门王为代表的“神术派”最先占据主导，又因为所罗门王召唤魔神梦罗克的恐怖事件而没落，继而被“科学派”取代，“科学派”占据主导后开始研究各种危险的科技实验，这也最终致使了由佩雷斯文明的毁灭。年月不详。,,
431901,4,,,,
431902,1,,所罗门王执政由佩雷斯后被魔神蛊惑，启动了魔神之塔，将深渊中的魔神梦罗克招来，这造成了由佩雷斯死伤惨重。好在所罗门王及时醒悟，开始研究封印魔神的方法，最后他把经历写在书上，并且将法阵封印进一把钥匙中，用于警醒后人。年月不详。,,
432001,4,,,,
432002,1,,上古神器盐之柱在卢恩王国境内被发现，自持“神之子民”的教国无法接受神器落入敌国，于是教国特务组织从卢恩盗走神器盐之桩，并藏匿在博仁斯。卢恩骑士团追到了博仁斯，双方展开大战，由于骑士团巫师的法术击中了盐之柱发生了巨大爆炸，整个博仁斯几乎夷为平地， 很多人在这次灾难中丧生，史称“博仁斯惨剧”。,,
470001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
470002,1,,黑羽瓦尔基里以“虚假的自由”为名进攻瓦尔哈拉，沙利尔趁乱逃出仙宫，黑羽军团为争夺彩虹桥的钥匙追击而来，寡不敌众的沙利尔化为光球坠落在古城之中，失去了记忆并陷入沉睡。\r\n封印古城的时空结界受此冲击而出现了裂痕，各方势力闻风而动，合力开启了古城大门，沙利尔也由此苏醒，开始进行她的使命。,,
470101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,
470102,1,,A.W800年，堕落女武神希莫梅斯为了搜集伊米尔之心碎片，强势侵入了卢恩王国最大的城市——克勒斯特汉姆。当时，哈因理西带领的白骑士团正在此驻扎，因哈因理西拒绝交出伊米尔之心碎片的行为惹恼了希莫梅斯，希莫梅斯遂将整座城覆灭，而骑士团们也都变成了亡灵，日日游荡于古城之中。,,
470201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,9
470202,1,,施密特王执政期间，为了炫耀国力，他搜刮民脂民膏，建造了克雷斯特汉姆，之后将其定为国都。Ａ.Ｗ729年，施密特王的表弟可雷霍尔伦打着驱逐暴君的口号集结了武装军队，一路势如破竹。政变后，可雷霍尔伦国王即位，宣告普隆德拉为卢恩王国的国都。,,9
470301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,9
470302,1,,女武神降临时，会用神术结出坚硬的能量体——天使之卵，天使之卵可以抵御女武神在降临过程中遇到的大部分伤害，也是她们在降临后恢复记忆和神力的能量结晶。\r\n\r\n创造者：女武神\r\n作用：抵御女武神在降临过程中遇到的伤害，也可以帮助女武神在降临后快速恢复记忆,,9
470401,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,9
470402,1,,在古城被封印后，绝望的古城人民曾向奥丁祈祷，但没有得到任何回应，等待他们的是在没有食物与水的情况下绝望死去。后来，一个用黑曜和苍穹两枚王冠造出的“伪神”出现了，他将收集来的幽灵能量转换成“圣饼”，让古城的人民活了下来。\r\n\r\n创造者：黑曜王冠与苍穹王冠造出的“伪神”\r\n作用：在没有食物与水的状况下，是这些圣饼拯救了古城的人民,,9
470501,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,9
470502,1,,在古城覆灭之后，古城的幸存者们囿于缺衣少食的困境，日夜向奥丁祈祷。但并没有得到奥丁的回应。于是他们组成了教会，供奉着由黑曜王冠与苍穹王冠造出的伪神。\r\n\r\n代表人物：约翰\r\n重要事迹：使用黑曜王冠与苍穹王冠造出了“伪神”,,9
470601,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,9
470602,1,,传说，为了保证伊米尔之心不被人发现，施密特王在克雷斯特汉姆用复杂的空间法术建立了半位面将伊米尔之心藏于其中，并将打开半位面的钥匙打造成了三个符文王冠，交给了与他亲近的三个王室，让他们之间相互监督制衡。三枚王冠分为名为：猩红王冠、苍穹王冠、黑曜王冠。\r\n\r\n创造者：施密特王\r\n作用：打开克雷斯特汉姆半位面的钥匙,,9
470701,4,,,,9
470702,1,,巴特家族的艾尹克亲王执政末期，对七王选举制度不满已久，于是发动了政变，但政变很快被作风强硬，善用兵法的雷本布鲁格家族的拉坎王子镇压，而他自己也在逃亡过程中被杀。本次事件史称“王子之乱”。,,9
470801,4,,,,9
470802,1,,巴特家族的施密特自小就被父亲送给实力强大的凯渥宝乐格家族做养子。经历诸多事件之后，施密特王在32岁登上了卢恩-米德加兹王国的皇位。,,9
440001,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,9
440002,1,,艾尔帕兰发生了一种怪病，患者的身体将在数日之内变成石像，意识也会随之溃散。据艾鲁推断，石化病的源头在艾尔帕兰的钟楼之内。\r\n为了能调制出更多的解药来拯救这些患者，炼金术士工会正在超负荷地运转。不过，在艾尔帕兰的另一股势力——奇迹教会，似乎也研究出了治愈石化病的方法。,,9
440101,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,9
440102,1,,贝鲁兹文明诞生于由佩雷斯文明爆炸之后，其前身正是前由佩雷斯文明的科技派狂热者。贝鲁兹文明继承了由佩雷斯次元移动科技，并且不顾福金等由佩雷斯幸存者的警告不断深入探究。\r\n贝鲁兹文明痴迷于次元移动科技，妄图将整个城市转移到未来，最终引发了巨大的时空风暴，导致了贝鲁兹文明的灭亡。,,9
440201,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,9
440202,1,,自称是边缘村落的教会，在启示录中看到了艾尔帕兰石化病的灾厄之象，得到神谕前来帮忙，实则是共和国人伪装而成，他们以钟楼为源头散播石化诅咒，再以救世主的身份获取信任，继而找到晚祷钟，释放时空回溯阵法，阻止贝鲁兹几百年前的次元跳跃计划。\r\n\r\n代表人物：埃尔文\r\n重要事迹：散播石化病,,9
440301,4,,,Resources\UI\Texture\PlotIcon\UI_PlotIcon_Plot_69.png,9
440302,1,,贝鲁兹幸存者为了恢复贝鲁兹文明的昔日荣光，计划将整个世界的时间线移动到贝鲁兹次元穿越的灾难前，阻止贝鲁兹次元跳跃造成的巨大伤害。他们建造钟楼，计划以整个钟楼为阵法核心，献祭艾尔帕兰所有生命为巨大炼金阵，以此来逆转整个世界的时间线。而阵法核心正是被隐藏在晚祷钟之中。\r\n\r\n创造者：贝鲁兹人\r\n作用：回溯时间,,9
480001,4,,,,9
480002,1,,米德加尔德大陆广受好评的剧团，有着许多被广为传唱的经典剧目。因为太受欢迎，曾经受到过王室的召见。\r\n\r\n代表人物：莱阿娜特、费特里希\r\n重要事迹：巡回演出、帮依诗柯寻找记忆,,9
480101,4,,,,9
480102,1,,人鱼付出了昂贵的代价，从女巫处交换而来的匕首，据说有解除诅咒的用途。\r\n匕首本身匮乏而无趣，反而是它所经历的爱恨纠葛，使它成为了某些地区津津乐道的故事之一。\r\n\r\n用途：解除诅咒,,9
480201,4,,,,9
480202,1,,每隔一段时间，风铃草剧团就会进行巡回演出，每一次的剧目都会引发经久不息的讨论。剧团中的明星成员，更是成为了许多年轻人的偶像。在他们的路经之地，鲜花掌声不绝于耳。,,9
480301,4,,,,9
480302,1,,举世难寻的美丽珍珠，洁白的表面泛着斑斓的彩色光泽。\r\n其实是见证了依诗柯决心的眼泪，落地后化成珍珠，其中寄托了她对你最后的思念。\r\n\r\n用途：寄托思念,,9
480401,4,,,,9
480402,1,,传说，梅罗普索姆曾经为了与人类在一起，她剖开鱼尾，从海洋来到了干燥的陆地。但是她的爱人发现了她的人鱼身份。出于恐惧，他联合村庄众人将其打成重伤，丢入了大海之中。\r\n没有人知道，失去鱼尾的梅罗普索姆在海洋深处经历了什么。总之，当她的名字再次在陆地上传颂之时，已经成为了神秘莫测的克魔岛女巫。,,9
490101,4,,,,9
490102,1,,奥利弗所撰写的小说，讲述了伊娃博士拯救改造人的故事。因为情节精彩，该书在朱诺大受欢迎，奥利弗也随之成为了有名的作家。,,9
490201,4,,,,9
490202,1,,林赛的档案，记述了林赛悲惨的前半生。他最初是一名佣兵，但不幸地遭遇了“佣兵之乱”，目睹好友们惨遭杀害。之后，他作为幸存者被送去雷根贝勒进行人体实验，在一轮又一轮的折磨中顽强地活了下来。,,9
490301,4,,,,9
490302,1,,象征着秘密之翼身份的证件。拥有这个证件的人，将会永远地效忠于大总统。,,9
490401,4,,,,9
490402,1,,维持着奥利弗行动的核心，里面储存了许多重要的研究资料。奥利弗关机之后，为了查明为何会有独立的人格出现，实验人员用了很多办法，但始终没能查出原因。,,9
490501,4,,,,9
490502,1,,林赛的研究所曾在多年前经历了火灾，损失惨重。据事后调查，凶手是伊娃博士。她烧毁了研究室后，带着那些饱受折磨的实验体离开了这里。,,9
490601,4,,,,9
490602,1,,在暴露了真实身份之后，阿斯引爆了自身的炸弹，意图将在场所有人全部炸死。巴雷蒙德使用传送魔法将在场的人员带出了爆炸范围，但小镇依旧被炸成了齑粉。,,9
490701,4,,,,9
490702,1,,在逮捕了林赛之后，朱诺政府决定对林赛处以极刑。然而，在押解的途中，雷根贝勒的士兵袭击了押送林赛的部队，犯人林赛不知所踪。,,9
490801,4,,,,9
490802,1,,伊娃博士表面上是林赛研究所的一员，实际上是雷根贝勒安插在林赛实验室的卧底。在实验进行到关键节点时，她从林赛研究所盗走奥利弗，却出于某种私心而并没有将其交给雷根贝勒，而是以养母的身份带着奥利弗一起生活。,,9
490901,4,,,,9
490902,1,,伊娃将奥利弗带走之后，以母子的身份一起生活。在乡间隐居多年以后，伊娃通过秘密线人，得知了雷根贝勒正在搜捕她的信息。为了保护奥利弗，伊娃离开了隐居之地，但最后被线人背叛，落入了雷根贝勒手中，受尽折磨而亡。,,9
491001,4,,,,9
491002,1,,为了调查伊娃博士的死因，奥利弗决定私下与林赛联手。,,9
491101,4,,,,9
491102,1,,奥利弗希望能借助伊米尔之心的力量，复活他的母亲——伊娃博士。但是在复活仪式的过程中，他的电源被林赛强行中断，复活仪式也随之中止。伊娃博士在短暂地拥抱了奥利弗之后，遗憾地消失了。,,9
491201,4,,,,9
491202,1,,雷根贝勒坐落于修发兹共和国，拥有强大的经济实力。它在共和国内享有超然的权力，其势力之大，甚至能左右总统的选举。,,9
491301,4,,,,9
