danci,yinbiao,yisi,liju
lose weight, ,减肥,
consistent,[kənˈsɪstənt],前后一致的，始终如一的（英语中评价人，是褒义词，往往和“靠得住”并列评价）,
What's that word?, ,那个词怎么说来着？,
Good point, ,说得好！,
rough,[rʌf],粗糙的,The towel you gave to me is rough
file a lawsuit against sb, ,对某人提起诉讼,
secretary,[ˈsekrəteri],秘书，部长，大臣,
punctual,[ˈpʌŋktʃuəl],守时的,
make sense of, ,弄懂，搞清,
along the way, ,在这个过程中（虚拟的事物），沿途（实际的路）,
in our everyday lives, ,在日常生活中,
particular,[pərˈtɪkjələr],可遵循汉语 某某 的用法,
ever since, ,从那时起,
compliment,[ˈkɑːmplɪmənt],称赞,"She's always ready to pay a compliment.
When did you last pay them a compliment"
go on webside, ,上xxx网站,go on Youtube
anxiety,[æŋˈzaɪəti],焦虑的,
overcast,[ˌoʊvərˈkæst],阴天的,
carton,[ˈkɑːrtn],盒子，纸盒、,"a carton of  一盒
辨析：cartoon 卡通"
fragile,[ˈfrædʒ(ə)l],脆的，易碎的,
sanitary,[ˈsænəteri],卫生的，公共厕所,
impress,[ɪmˈpres],使钦佩,"What impressed him most was their speed. 最令他钦佩的是他们的速度。
impression 印象  What's your impression of China?
have great admitation for sb.  钦佩某人"
assertive,[əˈsɜːrtɪv],坚定自信的,
routinely,[ruːˈtiːnli],通常的,
hang out, ,闲逛(玩),
hang in there, ,坚持下，撑一会，忍一下,
hang on, ,稍等,
on trial, ,受审,He is currently on trial for drunk driving.
staff,[stæf],员工,
faculty,[ˈfæk(ə)lti],全体教员，学院,"faculty of law 法学院
faculty of economics 经济学院"
representative,[ˌreprɪˈzentətɪv],有代表性的,typical 典型的
sector,[ˈsektər],部门，扇形,
contemporary,[kənˈtempəreri],当代的、现代的 （con-共同  temp-时间）,
reference point, ,参考点,
grant,[ɡrænt],补助金，承认，授予(赐予),
judgment,[ˈdʒʌdʒmənt],看法，判断力，判决,
stir,[stɜːr],搅拌,"stir up 煽动，掀起，激起
cause a stir 引起轰动
stir up trouble/problem/anger"
争吵相关, ,如下,"controversy  有争议的（争论）
argument	争吵，争辩
debate 辩论
dispute 纠纷
conflict 争执
quarrel  吵架
strife  冲突"
somewhat,[ˈsʌmwʌt],有点,
perception,[pərˈsepʃ(ə)n],"看法、感知、洞察力（per-贯穿,通过 + -cept-拿 + -ion名词词尾）",sensory perception 感官知觉
conception,[kənˈsepʃ(ə)n],概念,
eliminate,[ɪˈlɪmɪneɪt],消除,
bowl,[boʊl],碗,bow 鞠躬
fee,[fiː],费用，酬金，小费,processing fee 手续费
analyst,[ˈænəlɪst],分析员,
jury,[ˈdʒʊri],陪审团,
novel,[ˈnɑːv(ə)l],新奇的，小说,
trail,[treɪl],足迹，(山间)小路，跟踪,
humanitarian aid, ,人道主义援助,
conservative,[kənˈsɜːrvətɪv],保守的（con-强调 serve 保护）,
conversation,[ˌkɑːnvərˈseɪʃ(ə)n],对话（con-强调  verse 转）,
firm evidence, ,确凿的证据,
airline,[ˈerlaɪn],航空公司,airline tickets 机票
versus,[ˈvɜːrsəs],对抗 = vs,
in the teeth of, ,不顾，对抗,
initiate,[ɪˈnɪʃieɪt],发起、引发,"Copy. We will observe, but not initiate. Over 收到，我们将会继续观察，但不会主动出击，完毕。
initiative  倡议，方案，主动性（常见于政府的一个政策所实行的措施）"
innovate,[ˈɪnəveɪt],创新,"innovation
innovative"
refugee,[ˌrefjuˈdʒiː],难民,
slum,[slʌm],贫民窟,
consultant,[kənˈsʌltənt],顾问,
manufacturer,[ˌmænjuˈfæktʃərər],制造商，生产商,
consistent with, ,与。。一致,
passage,[ˈpæsɪdʒ],文章，走廊，通路，,
coward,[ˈkaʊərd],懦夫,
timid,[ˈtɪmɪd],胆小的,
melody,[ˈmelədi],旋律,
rhythm,[ˈrɪðəm],节奏,
pay the bill, ,付账,
attorney,[əˈtɜːrni],律师,lawye更口语化
nip it in the bud, ,防患于未然（消灭在萌芽）,
threshold,[ˈθreʃhoʊld],门口、门槛，阈值,The threshold for regulation is high.
make a fuss, ,大惊小怪，吵吵闹闹,
extent,[ɪkˈstent],程度,
coupon,[ˈkuːpɑːn],优惠券,
premium,[ˈpriːmiəm],高端的、附加费,
ran off, ,逃跑,
so called, ,所谓的,
intelligence,[ɪnˈtelɪdʒəns],智力，情报,
cluster,[ˈklʌstər],群,a cluster of
clutch,[klʌtʃ],紧握，抓牢，离合,
grab a coffee, ,喝杯咖啡(口语),
figuratively,[ˈfɪɡjərətɪvli],比喻的,"figuratively speaking 打个比方说吧
literally and figuratively 事实的和比喻的"
symbolically,[sɪmˈbɑːlɪkli],象征的,
imply,[ɪmˈplaɪ],"意味，隐含，暗指	（im-入,向内 + -ply-折叠 → 折入其中,隐含于其中）",What are you implying?	你在暗示什么？
impair,[ɪmˈper],损害，削减,hearing-impaired 听力受损的
board辨析, ,如下,"board ：木板，董事会，登（船，飞机，车）	【通过黑板，blackboard记忆】
border ：边境，接壤		【order 指示，收到指示保卫边疆】
broad ：宽阔的	【road 路，宽广】"
fictional,[ˈfɪkʃən(ə)l],虚构的,
frustrated,[ˈfrʌstreɪtɪd],阻挠，懊恼的，使懊恼,
trunk,[trʌŋk],树干、后备箱、行李箱,pop the trunk
receipt,[rɪˈsiːt],收据,
essentially,[ɪˈsenʃəli],本质上,
basically,[ˈbeɪsɪkli],基本上,
you betcha, ,那还用说，当然,
mug,[mʌɡ],杯子（马克杯）,
mineral water, ,矿泉水,
proceed,[proʊˈsiːd],继续做，接着（pro-前 + -ceed-行走）,"He proceeded to tell me of my birth		他接着给我讲了我的出生。
Please proceed immediately to gate 2	请立刻前往2号登机口
Passengers for Rome should proceed to Gate 32 for boarding"
how are things, ,最近怎么样,
mushroom,[ˈmʌʃrʊm],蘑菇,
steak,[steɪk],牛排,
symptoms,[ˈsɪmptəmz],症状,What symptoms do you have?  I have a headache and a cough.
gargle,[ˈɡɑːrɡl],漱口,
rub,[rʌb],揉，蹭，擦，抹，搓,
resemble,[rɪˈzemb(ə)l],类似,They resemble real people.他们像真人一样
intuitive,[ɪnˈtuːɪtɪv],直觉的，直观的,counterintuitive 违反直觉的
iterative,[ˈɪtəreɪtɪvˌˈɪtərətɪv],重复的,iteration 迭代
composition等辨析, ,如下,"composition：组成，作品，作文
conversation：对话
convention：习俗，惯例
comprehension：理解
complain：投诉，抱怨
competitive：竞争的"
as always, ,一如既往,
it really helps, ,这真的很有帮助,
go over, ,过一遍（复习）,We are going to go over everything at the end of the video.
graceful,[ˈɡreɪsf(ə)l],优雅的，优美的,
praise,[preɪz],称赞,praise sb for sth
punctuation,[ˌpʌŋktʃuˈeɪʃ(ə)n],标点符号,
landlord,[ˈlændlɔːrd],房东,
tenant,[ˈtenənt],租户,
renovate,[ˈrenəveɪt],翻修，翻新,
lease,[liːs],租约，租,
rent,[rent],租金，租,
entrance,[ˈentrəns],"入口	(发音类似于""鹌鹑si"")",
public utility, ,公共事业，如水、气、电、网等,
smoke-free,[ˌsmoʊk ˈfriː],无烟，禁烟的,
basement,[ˈbeɪsmənt],地下室,
set up, ,建立、安排,I have set up a meeting for friday.
表示附和单词, ,如下,"definitely：肯定的
exactly：正是如此
absolutely：绝对的
precisely（口语中用得少）
right：是的"
look up, ,查阅(从字典、电话簿、档案、网站等)，拜访,look up the words in dictionary.
interchangeable,[ˌɪntərˈtʃeɪndʒəb(ə)l],可互相替换的,
make up, ,编造、化妆、组成、弥补,make up a sentence 造句
come across, ,碰到、偶遇,
set aside, ,留出,set aside 2 minutes everyday to have a simple conversation with yourself. 每天留两分钟时间跟自己来个简单的对话
This is worth my time, ,值得我花时间,
narrate,[ˈnæreɪt],叙述，解说,"As you're doing it, in your head, narrate in English. 在做的同时，在脑海中用英语来叙述。"
语法相关单词, ,如下,"letters 字母
words 单词
sentence 句子
paragraph 段落
vocabulary 词汇
pronunciation 发音
intonation  声调
syllable 音节
vowel 元音
schwa 中央元音
diphthong 双元音
noun 名词
verb 动词
adjective 形容词
adverb 副词
preposition 介词
conjunction 连词
participle 分词
interjection 感叹词
phrase 短语
phrasal verb 动词短语
subjective 主语
objective 宾语
complement 补语
clause 从句
fluent 流利的
natural 自然的c
synonyms 同义词
qualifier 修饰语(限定词)、预选赛
slang  俚语（相当于流行用语，会有新的也会过时）
idiom 习语（相当于汉语中的成语，谚语）
collocation 词语搭配
colloquial  口语的，非正式的
paraphrase 释义
metaphor  比喻 figurative  比喻的【analogy 类比】
plural form  复数形式
affix 词缀
punctuation  标点符号
comma 逗号
apostrophe  撇号 '
tongue twister 绕口令
compound 复合的 （com-共同 + pound(-pon-)放置）
complex 复杂的
abbreviate to 缩写成  abbreviation 缩写形式  The abbreviation for Kansas is KS.
international phonetic alphabet 国际音标字母表  phonetic（音标的、语音的）phonetic symbol 音标"
get ahead, ,获得成功,"Its not easy to get ahead in the film industry,"
aim for, ,以...为目标,We are aiming for 30% cost reduction by next quater.
fall through, ,落空,We are supposed to go on vacation but out plans fell through.
burn out, ,精疲力尽,You should take a vacation before you burn out.
plot,[plɑːt],阴谋，情节,"main plot 主要情节
plot twist 情节转折"
jet lag, ,时差,
sleep-deprived,[sliːp dɪˈpraɪvd],睡眠不足的,
recall,[rɪˈkɔːl],回想,speaking of that，I recall...  说到这儿，我回想起...
flicker,[ˈflɪkər],闪烁,
ideally,[aɪˈdiːəli],理想情况下(常用),
boost,[buːst],提升，促进，增加(信心),
intermediate,[ˌɪntərˈmiːdiət],中级的，中等的,
adapt to, ,适应,"be adapted for 适合的 = suitable
This news is adapted for english learners. 这些新闻适合英语学习者。"
well-adapted,[wel əˈdæptɪd],适应性强的,
day off, ,休息日,
show off, ,炫耀,
Me neither, ,我也不 = Neither did I,
cotton,[ˈkɑːt(ə)n],棉，棉的,
immensely,[ɪˈmensli],极其的,"词源：im= 无 mens=测量-> 无法测量的
I enjoyed this film immensely."
I am not into, ,不喜欢 = I don't like,
reflex,[ˈriːfleks],本能反应、反射,"I am sure you have reflex to answer ""I'm fine thank you"","
acquaintances,[əˈkweɪntəns],熟人,trangers 陌生人
neutral,[ˈnuːtrəl],中立的、中性的,
help you out, ,帮忙脱离困境,加out有帮助解决困难的意思
under the weather, ,表示不舒服，起源于航海的水手,I'm a little under the weather today. = I fell a little sick today
meditating,[ˈmedɪteɪtɪŋ],冥想,
pick up, ,捡起,
split up, ,分开，分手,
contrast,[ˈkɑːntræst],对比,
contradictory,[ˌkɑːntrəˈdɪktəri],相互矛盾的,
dedicate,[ˈdedɪkeɪt],致力于,"It's up to you to decide how much time you dedicate to learing English every single day.
This channel is dedicated to helping you feel confident speakign English in public."
bruise,[bruːz],瘀伤,
wellbeing, ,幸福,
tolerant,[ˈtɑːlərənt],宽容的,
cross it out, ,划掉，山删去,
subtle,[ˈsʌt(ə)l],微妙的,subtle differences
subtle nuances, ,细微差别,
what do you call this, ,这叫什么（询问一个物品的英语）,
psychological,[ˌsaɪkəˈlɑːdʒɪk(ə)l],心理的,
coordinate,[koʊˈɔːrdɪneɪt],协调，配合，坐标,
dessert,[dɪˈzɜːrt],甜点,desert 沙漠
outfit,[ˈaʊtfɪt],整体上的 衣服的装扮,"I like your oufit, but i don't like your shoes."
aesthetic,[esˈθetɪk],美学，审美的,
穿衣单词, ,如下,"tuck in（塞进）
put on（穿上）
button up（扣上）
throw on（匆匆穿上）
zip up（拉上拉链）
roll up（卷起）roll up（卷起袖子）"
"We made a deal, didn't we", ,我们说好的，不是吗？,
"""No"" means no.", ,不行就是不行,
I'll get you something next time., ,我下次再给你买,
take after, ,像(某人),You take after your mother. 你像你母亲。
yay,[jeɪ],这么,He is about yay high.他大概有这么高。
on the off chance, ,抱着试试看的态度,
表示“笑”的单词, ,如下,"giggle v.咯咯地笑，痴笑，傻笑，多指女人和孩子由于紧张、被逗乐、尴尬时所发出的笑声。
The schoolgirls giggled when the famous football player walkedsintostheir classroom.当这个著名的足球运动员走进教室时，女生们都咯咯地笑起来。
laugh v.笑，大笑，用于一般的笑或出声的大笑。
chuckle v. (书面语)吃吃的笑，抿嘴笑，轻声笑，多指因得意或领会到某事中的趣味而暗自发笑。
She does not laugh out loud; she only chuckles.她没有笑出声来，只是抿嘴而笑。
roar v.怒吼，咆哮，引申为放声大笑，哄堂大笑。
He roared when he heard the joke.听完这个笑话，他哈哈大笑。
sneer v.冷笑，嘲笑，指以语言、表情、和声调表示轻蔑或嘲弄。
He sneered at the offer and said it was two low.他对报价嗤之以鼻，说它太低了。
beam v.本义指照耀，放光，引申为""微笑""，是正式用语，指面带喜悦或笑容，暗示对他人的友好或内心的满足。
She beamed with happiness.她高兴得眉开眼笑。
jeer v.讥笑，嘲笑，其同义词是mock。
The crowd jeered when the boxer was knocked down.当那个拳手被人打倒时，人群开始嘲笑他。
grin v.露齿而笑，指人因高兴、满足、轻蔑等咧开嘴露齿地笑。
He grinned at his mother.他冲他的妈妈咧嘴一笑。"
表示“抓”的单词, ,如下,"grasp 指紧紧抓住、抓牢。
grab 指粗暴而急迫的抓住。
clasp 指用手紧握或用臂紧抱。
seize 指突然抓住某物，强调突然的猛烈动作。
take 最普通用词，不带感情色彩。指用手抓、取某东西或控制某物。
clutch 强调匆忙、紧急地抓、抓紧。
grip 语气比grasp强，指用手的最大力量紧紧抓住。
snatch 指突然抢走，侧重动作更快或更具暴力性质。"
connotation,[ˌkɑːnəˈteɪʃ(ə)n],涵义,
intently,[ɪnˈtentli],聚精会神,
overtime,[ˈoʊvərtaɪm],加班,
I will be right there, ,我马上就到,"I will be right down. 我马上就下来
I will be right out. 我马上就出来"
strike up, ,建立起（对话，友谊）,"strike up conversation
strike up friendship"
have a blast, ,玩得很开心,
emulate,[ˈemjuleɪt],效仿,
imitate,[ˈɪmɪteɪt],模仿,
serendipity,[ˌserənˈdɪpəti],机缘,
intrinsic,[ɪnˈtrɪnzɪk],内在的，固有的,
practical,[ˈpræktɪk(ə)l],实际的,practically 几乎的，实际的
chore,[tʃɔːr],杂物，琐事,
expenditure,[ɪkˈspendɪtʃər],花销，支出,revenue 收入
thorough,[ˈθɜːroʊ],彻底的，全面的,
look into, ,调查、研究,A working party has been set up to look into the problem. 已成立一个工作小组来调查这个问题。
over\through词组：, ,如下：,"go over：（过一遍）往往是第二次，纠错等
go through：（过一遍）往往是第一次，为了找某些信息
look over：查看
look through：（对象往往是书）浏览"
elementary,[ˌelɪˈmentri],基础的，简单的,
tuition,[tuˈɪʃ(ə)n],学费,
go down, ,意思如下：,"有沿着，朝着的意思：going down the road/path
下降，降低的意思：risk of xxx can go down by as much as 50%
也可以仅作为go的修饰词，go down = go
down there  在那儿"
what's the rush, ,急什么啊,
injustice,[ɪnˈdʒʌstɪs],不公道的,
outrage,[ˈaʊtreɪdʒ],愤慨,
irresponsibility,[ˌɪrɪˌspɑːnsəˈbɪləti],不负责,
cheeky,[ˈtʃiːki],（形容淘气的小孩）嬉皮笑脸的,
nuance,[ˈnuːɑːns],细微差别,
taboo,[təˈbuː],禁忌的,
fury,[ˈfjʊri],暴怒,辨析：furry  毛茸茸的、fur 皮毛
crowdfunding, ,众筹,
raise money, ,筹钱,
fuzzy,[ˈfʌzi],模糊的、毛绒的,
incentive,[ɪnˈsentɪv],动力，激励的,incentive mechanism  激励机制
incentivize,[ɪnˈsentɪvaɪz],可理解为“促使”,...which incentivizes other investors to lend to riskier entities...
take revenge, ,报复、报仇,get back at sb 向某人报仇
childish,[ˈtʃaɪldɪʃ],幼稚的,
bonus,[ˈboʊnəs],奖金,
pout,[paʊt],撅嘴(生气),
talk back to, ,顶嘴,
revolve around, ,围绕。。旋转,
oversee,[ˌoʊvərˈsiː],监督,
implement,[ˈɪmplɪment],执行，实施,I impliment policies and procedures nationwide.
underestimate,[ˌʌndərˈestɪmeɪt],低估,
back then, ,那时候,
roll out of bed, ,起床,
figurativelly, ,象征的,
slam,[slæm],猛地,"slam the door  砰地关门
slam on the brake 猛踩刹车(与break发音相同意思不同)
slam into 猛烈撞击"
start off, ,出发、开始,
blow my mind, ,扰乱思绪，使我惊讶,
impound,[ɪmˈpaʊnd],扣押，扣留,
That's not necessarily true., ,那不完全正确呢,
You got a point here., ,你说得对,
kiss up to, ,拍马屁,
reluctant,[rɪˈlʌktənt],不情愿的,
booked solid, ,预定满了,
in the mood for, ,有心情做。。。,
draft,[drɑːft],草稿，起草,draft plan 草案
stuffed,[stʌft],塞满了的(吃饱的),
cut out, ,戒除,
pick sb up, ,(开车)接某人,
absence,[ˈæbsəns],缺席，缺勤,
set out to do something., ,开始努力做某事,He has achieved what he set out to do 3 years ago.
set out, ,还有“列出”的意思,I'm setting out the exact things in steps.
stimulate,[ˈstɪmjuleɪt],刺激，激励,
turmoil,[ˈtɜːrmɔɪl],混乱、骚动,
appetite,[ˈæpɪtaɪt],食欲,
make it, ,做到，到达,"I can't make it tomorrow. 我明天到不了
I couldn't make it to the meeting,"
try on, ,试穿,
deposit,[dɪˈpɑːzɪt],存款、押金,
transaction,[trænˈzækʃ(ə)n],交易,
overdraft,[ˈoʊvərdræft],透支,
handy,[ˈhændi],有用的,
debit card, ,借记卡(银行卡),
I'll get you to, ,我想让你,I'll get you to fill out this paperwork.
go down in history, ,载入史册,
pay off, ,还清,
bottom line, ,底线，最重要的事情,
get hold of, ,找到或者联系某人 = find or contact someone,I've been trying to get hold of you for hours! 我找了你好几个小时了
stand sb up, ,放某人鸽子,
heading,[ˈhedɪŋ],前往 = go towards a specified direction or place,"Can you forecast where the economy is heading?
Where are we heading  我们去哪"
have no idea, ,不知道,do you have any idea = do you know
I'm just browsing., ,(在超市面对推销) 我只是看看,
sleep on it., ,再考虑一下,
stand in one's way, ,阻碍，妨碍,
get them outta there, ,让他们离开这里 = get them out of there,
hand over, ,移交,hand something over to someone	把..交给..负责
I've been meaning to, ,我一直想做。。。,
sponsor,[ˈspɑːnsər],赞助,
patron,[ˈpeɪtrən],资助人,
invitation letter, ,邀请函,
barely even, ,甚至不能,I barely even get out of bed.
It sure is..., ,真是... （表强调）,"Boy, it sure is hot. 好家伙，这天儿可真热。"
pull yourself together, ,振作起来,
hook up, ,连接（电子设备与电源）,
hold still, ,静止不动,
obligate,[ˈɑːblɪˌɡeɪt],迫使,obligate sb to do 迫使..去做..
outline,[ˈaʊtlaɪn],概述,I‘ll outline this plan.
overall,[ˌoʊvərˈɔːl],总的,"overall efficiency 总效率
overall budget 总预算
overall cost 总成本"
coordination,[koʊˌɔːrdɪˈneɪʃ(ə)n],协调,improve the coordination and cooperation(合作)
technically,[ˈteknɪkli],严格来说,
comparatively,[kəmˈpærətɪvli],比较来说,
be subject to, ,取决于，受制于,
overwhelming,[ˌoʊvərˈwelmɪŋ],难以应对的,
specifically,[spəˈsɪfɪkli],特意的（怀有目的性），明确的,"I specifically tell you ...
Ues these word specifically in daily conversation."
make an order, ,下订单,
scalper,[ˈskælpər],黄牛，票贩子,
prestigious,[preˈstiːdʒəs],有名望的,"Harverd University is one of the most prestigious schools in America,"
Don't just leave me here., ,不要把我留在这儿,
leave me alone., ,别管我,
academy award, ,奥斯卡金像奖,
bitter,[ˈbɪtər],苦的,
pass out, ,昏过去 = faint = loss consciousness,
pandemic,[pænˈdemɪk],瘟疫,
up-and-coming,[ˌʌp ən ˈkʌmɪŋ],有前途的,
specify,[ˈspesɪfaɪ],指定,
practically,[ˈpræktɪkli],实际上，几乎,
keep in mind, ,记住,
comply with regulation, ,遵从规定,
tricky,[ˈtrɪki],棘手,
spouses,[ˈspaʊsɪz],配偶,
doable,[ˈduːəbl],可行的,I hope it will be more doable and approachable. 我希望它会更加可行和平易近人。
retail store, ,零售店,
speculate,[ˈspekjuleɪt],猜测,It's always hard to speculate about the future. 推测未来总是很难的。
shop around, ,货比三家,I think I'll shop around.
pricy,[ˈpraɪsi],昂贵的 = expensive,
compelling,[kəmˈpelɪŋ],引人注目的，令人信服的，引人入胜的,
sheer,[ʃɪr],绝对的，纯粹的（用于强调）,
at the moment, ,目前,It is the most popular game engine on steam at the moment.
turn to, ,求助,More people I can turn to when I get stuck(遇到困难).
seasoned,[ˈsiːznd],经验丰富的,
before long, ,不久之后,
demoralizing,[dɪˈmɔːrəlaɪzɪŋ],令人泄气的,
lost,[lɔːst],还有“困惑的”的意思,"I feel very lost,"
I've awalys wanted to..., ,我一直都想。。。,
due date, ,到期日,
in the middle of nowhere, ,在偏僻的地方,
in order, ,井然有序,Everything seems to be in order.
frustrating,[ˈfrʌstreɪtɪŋ],令人沮丧的,
crew,[kruː],全体组员,
screw up, ,弄糟，搞砸,
map out, ,制定（计划）,
get by, ,勉强过活,
malfunction,[ˌmælˈfʌŋkʃ(ə)n],故障,
practical joke, ,恶作剧,
patch,[pætʃ],一小片/块，补丁,a small patch of，blad path on the top of his head
refrain,[rɪˈfreɪn],避免,refrain from doing sth
lavatory,[ˈlævətɔːri],厕所,"英文解释：only have toilet and sink，common in boats, trains, airplanes, never in you house"
comprehensive,[ˌkɑːmprɪˈhensɪv],全面的，综合的,
comprehension,[ˌkɑːmprɪˈhenʃ(ə)n],理解,
in terms of, ,可以理解为 就...来说、从..角度看，可起到延后解释的作用,"Our goods compete in terms of quality, reliability.
This is a significant investment in terms of time and energy."
resonate,[ˈrezəneɪt],共振，共鸣，对某人有重要性,"It doesn't resonate with me.（词源来自：resound）
craft emotionally resonate with yout customer. 与你的客户建立情感上的共鸣"
demonstrate,[ˈdemənstreɪt],证明、展示,
tie up, ,捆绑、平局,The first game ended in a tie.  第一场比赛以平局结束。
fall for it, ,上当,
interpersonal,[ˌɪntərˈpɜːrsən(ə)l],人际的,interpersonal relation / skills
tempting,[ˈtemptɪŋ],诱人的,
make progress, ,取得进步,progress 作动词 推进 progress the relationship with
intuitive,[ɪnˈtuːɪtɪv],直觉的,
immersion,[ɪˈmɜːrʒn],沉浸,
momentarily,[ˌmoʊmənˈterəli],片刻的,
cheer-leading squad, ,啦啦队,
controversy,[ˈkɑːntrəvɜːrsi],争议,controversial  有争议的
expertise,[ˌekspɜːrˈtiːz],专长，专业技能,
acumen,[ˈækjəmən],敏锐,"business acumen 商业头脑
political acumen 政治敏锐性"
brink,[brɪŋk],边缘=on the critaical point,on the brink of 在。。的边缘(抽象事物，edge是实体的边缘)
kick off, ,足球开球，开始(事件，比赛等),
foul,[faʊl],脏臭的，粗俗的，犯规,
referee,[ˌrefəˈriː],裁判	可缩写为ref,
penalty,[ˈpenəlti],处罚，罚球,
by a mile, ,很多的、大相径庭,"He is taller than you by a mile. 他比你高多了
You missed the goal by a mile."
groundbreaking,[ˈɡraʊndbreɪkɪŋ],开创性的,
undisputed,[ˌʌndɪˈspjuːtɪd],无可争辩的,
irrefutable,[ˌɪrɪˈfjuːtəb(ə)l],无可辩驳的（词根 refuse 拒绝）,irrefutable evidence
oblivious,[əˈblɪviəs],没意识到的、未察觉的,
extensive,[ɪkˈstensɪv],广阔的，广泛的,"extensive research 广泛的研究
He've done extensive research,"
conclusive,[kənˈkluːsɪv],确凿的(可以直接得出结论的),conclusive evidence
definitive,[dɪˈfɪnətɪv],确定的，明确的,"definitive edition 最终版
definitive answer 明确的答案"
flawed,[flɔːd],有缺陷的,
profit and loss, ,盈亏,
pros and cons, ,利与弊,
pathetic,[pəˈθetɪk],可怜的，差劲的,
picky,[ˈpɪki],挑剔的,
yolk,[joʊk],蛋黄,"egg-white 蛋白
scrambled eggs 炒鸡蛋"
feel like doing, ,想要做某事,
mortifying,[ˈmɔːrtɪfaɪɪŋ],无地自容的 extremely embarassing,
infinite 等词语辨析, ,如下,"finite  有限的
infinite  无限的，无穷的
infinitive  不定式
definitive  终极的
definite  确切的，无疑的
definitely  肯定的"
come over, ,过来,She said she'd like to come over
This sucks, ,这糟透了,
dip,[dɪp],蘸,
special,[ˈspeʃ(ə)l],还有“特价商品”的意思,
preoccupied,[priˈɑːkjupaɪd],全神贯注的、心事重重的,
resent,[rɪˈzent],憎恨,
beat around the bush, ,说话拐弯抹角,
